TimeSinceStart,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z
49.53111,1,Training,1,1,Flat,5,selectCards,0.4031664,0.1749968,-1.477062,5.880353,213.2725,4.646659,0.3339543,0.3557991,-1.525586,3.446287,245.703,19.13132
49.54222,1,Training,1,1,Flat,5,selectCards,0.4055035,0.1707115,-1.474259,4.998109,214.0563,3.754766,0.3353395,0.3508955,-1.518597,3.546888,246.2995,19.15673
49.55333,1,Training,1,1,Flat,5,selectCards,0.4078112,0.1664453,-1.471155,4.175792,214.8304,2.930105,0.3364584,0.346481,-1.512037,3.614022,246.8053,19.15948
49.56445,1,Training,1,1,Flat,5,selectCards,0.4100091,0.162724,-1.468216,3.419605,215.5854,2.155012,0.3381187,0.3420998,-1.505572,3.629106,247.1525,19.00751
49.57556,1,Training,1,1,Flat,5,selectCards,0.4121315,0.1589686,-1.465223,2.659696,216.3599,1.408809,0.3396765,0.3383907,-1.499354,3.621767,247.3868,18.7425
49.58667,1,Training,1,1,Flat,5,selectCards,0.4140409,0.1556246,-1.462187,1.873947,217.1024,0.6849899,0.3416491,0.3345828,-1.493084,3.504867,247.6697,18.52154
49.59778,1,Training,1,1,Flat,5,selectCards,0.4159463,0.1524473,-1.459106,1.091684,217.8513,0.01297179,0.3438754,0.330909,-1.487072,3.325761,248.0079,18.46813
49.60889,1,Training,1,1,Flat,5,selectCards,0.4177278,0.1494255,-1.456081,0.3156825,218.5562,359.4273,0.3457932,0.3275652,-1.481193,3.131652,248.3467,18.4471
49.62,1,Training,1,1,Flat,5,selectCards,0.4192049,0.146929,-1.45283,359.6194,219.236,358.8913,0.3478086,0.3248262,-1.475371,2.872399,248.7135,18.34946
49.63111,1,Training,1,1,Flat,5,selectCards,0.4207886,0.1444263,-1.449546,358.964,219.8557,358.4635,0.3497884,0.3225169,-1.469695,2.538489,249.1577,18.04132
49.64222,1,Training,1,1,Flat,5,selectCards,0.4223657,0.1420421,-1.446388,358.326,220.4801,358.0705,0.3520348,0.3202294,-1.463685,2.119895,249.6773,17.66816
49.65334,1,Training,1,1,Flat,5,selectCards,0.4237367,0.1399897,-1.443132,357.7633,221.0668,357.8114,0.3539424,0.3182797,-1.458022,1.711178,250.1987,17.40265
49.66444,1,Training,1,1,Flat,5,selectCards,0.425115,0.1380041,-1.43995,357.2334,221.6373,357.6253,0.3562517,0.3165454,-1.45173,1.205311,250.8082,16.98511
49.67556,1,Training,1,1,Flat,5,selectCards,0.4263481,0.1362407,-1.436467,356.7323,222.1457,357.5903,0.3584683,0.314922,-1.446165,0.7530731,251.3921,16.62082
49.68667,1,Training,1,1,Flat,5,selectCards,0.4276599,0.1346362,-1.432841,356.2332,222.6379,357.6674,0.3608959,0.3129809,-1.440249,0.3460332,251.8957,16.36632
49.69778,1,Training,1,1,Flat,5,selectCards,0.4289929,0.1328736,-1.429177,355.7032,223.1299,357.7374,0.3632483,0.3116403,-1.435225,359.9224,252.3118,16.22614
49.70889,1,Training,1,1,Flat,5,selectCards,0.4302336,0.1311425,-1.425244,355.1975,223.5516,357.9711,0.3658648,0.310201,-1.429865,359.4355,252.7189,15.96148
49.72,1,Training,1,1,Flat,5,selectCards,0.4314025,0.1294648,-1.42122,354.7159,223.9158,358.2141,0.3684893,0.3088979,-1.424523,358.8501,253.0463,15.75582
