TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
50.83111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05941812,1.673847,0.1460142,24.20234,309.1234,1.753596,0.01980007,0.8698548,0.2836268,34.37636,305.1993,1.479185,False,False
50.84222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06005492,1.674572,0.1465415,23.89463,309.6496,1.95778,0.01096487,0.8774979,0.2883306,32.88662,305.8368,1.378266,False,False
50.85334,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06076807,1.675277,0.1470527,23.57754,310.1902,2.144453,0.00168395,0.885807,0.2932625,31.26286,306.5186,1.177616,False,False
50.86444,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06159023,1.675884,0.147529,23.25676,310.7337,2.325019,-0.007951379,0.8947511,0.2980273,29.47111,307.1803,1.074209,False,False
50.87556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06243132,1.676463,0.1479767,22.95629,311.2799,2.477122,-0.01744115,0.9036607,0.3027897,27.59142,307.878,1.056135,False,False
50.88667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06335353,1.676889,0.1482997,22.70022,311.8328,2.610877,-0.02753627,0.9138645,0.3077109,25.3835,308.7174,1.234059,False,False
50.90889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06410278,1.677177,0.1485473,22.46281,312.4053,2.716941,-0.03716779,0.9249425,0.3123057,23.20114,309.7205,1.606423,False,False
50.92,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06497759,1.677565,0.1487416,22.24879,312.9774,2.834895,-0.04653025,0.9352921,0.3166106,21.12872,310.605,2.356282,False,False
50.93111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06583444,1.678018,0.1489053,22.05198,313.5644,2.971949,-0.05624378,0.9451821,0.3206201,19.35279,311.5015,3.624092,False,False
50.94222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06660508,1.678626,0.1492349,21.88152,314.1692,3.127935,-0.06532991,0.9551713,0.3245828,17.57218,312.479,4.268837,False,False
50.95333,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06749302,1.679325,0.1494012,21.73361,314.8336,3.279784,-0.0740149,0.9655195,0.3288121,15.83227,313.7247,4.268338,False,False
50.96445,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06826308,1.679897,0.1495541,21.5327,315.4937,3.405693,-0.08245361,0.975839,0.332448,14.02902,314.7055,4.375718,False,False
